COM CODE,NUMBER,time
21381,1556 ECE F212,M W 5
21381,1715 ECE F212,F 5 S 1
21381,1557 ECE F212,M W 5
21381,1716 ECE F212,F 5 S 1
21381,1558 ECE F212,T TH 5
21381,1717 ECE F212,S 5 M 1
21381,1559 ECE F212,T TH 5
21381,1718 ECE F212,S 5 M 1
21381,1560 ECE F212,T TH 5
21381,1719 ECE F212,S 5 M 1
21381,1561 ECE F212,T TH 5
21381,1720 ECE F212,S 5 M 1
21383,1573 ECE F214,M W F 3
21383,1721 ECE F214,T 1
21383,1159 ECE F214,T TH S 4
21383,1722 ECE F214,T 1
21382,1158 ECE F215,M W F 2
21382,1562 ECE F215,M W F 2
21382,1569 ECE F215,TH 1
21382,1570 ECE F215,TH 1
21382,1571 ECE F215,TH 1
21382,1572 ECE F215,TH 1
21382,3756 ECE F215,TH 1
21382,3757 ECE F215,TH 1
21382,1565 ECE F215,M 7 8
21382,1568 ECE F215,F 9 10
21389,1161 ECE F311,T TH S 4
21389,1576 ECE F311,M 3 4 5
21389,1577 ECE F311,T 1 2 3
21389,1578 ECE F311,W 3 4 5
21389,1579 ECE F311,TH 1 2 3
21389,1580 ECE F311,TH 7 8 9
21389,1581 ECE F311,F 3 4 5
21388,1160 ECE F314,M W F 2
21388,1574 ECE F314,S 1
21388,1575 ECE F314,S 1
21397,1163 ECE F418,M W F 7
21392,1162 ECE F434,M W F 9
21392,1582 ECE F434,T 8 9 10
21392,1583 ECE F434,TH 8 9 10
21023,1066 ECON F211,M W F 3
21023,1673 ECON F211,T 8
21120,1095 ECON F212,TH 2 S 8 9
21120,1701 ECON F212,TH 1
21121,1096 ECON F213,T TH S 3
21121,1500 ECON F213,T 9
21145,1108 ECON F214,T TH S 4
21145,1515 ECON F214,TH 9
21442,1170 ECON F241,M W F 10
21446,1171 ECON F311,M W F 10
21446,1588 ECON F311,W 1
21447,1172 ECON F312,T TH S 5
21447,1589 ECON F312,S 1
21448,1173 ECON F313,T TH S 2
21448,1590 ECON F313,TH 10
21923,1281 ECON F315,M W F 7
22184,1303 ECON F345,M W F 5
21565,1197 ECON F354,M W F 5
21547,1192 ECON F355,T TH S 2
21553,1193 ECON F415,M W 10 11
21077,1071 EEE F211,M W F 4
21077,1674 EEE F211,F 1
21077,1426 EEE F211,M W F 4
21077,1675 EEE F211,F 1
21077,1427 EEE F211,T TH S 3
21077,1676 EEE F211,F 1
21077,3758 EEE F211,T TH S 3
21077,3759 EEE F211,F 1
21077,1428 EEE F211,M 7 8 9
21077,1429 EEE F211,T 7 8 9
21077,1430 EEE F211,W 3 4 5
21077,1431 EEE F211,TH 3 4 5
21077,1432 EEE F211,TH 7 8 9
21078,1072 EEE F212,M W 5
21078,1677 EEE F212,F 5 S 1
21078,1433 EEE F212,M W 5
21078,1678 EEE F212,F 5 S 7
21078,1434 EEE F212,M W 5
21078,1679 EEE F212,F 5 S 1
21078,1435 EEE F212,M W 5
21078,1680 EEE F212,F 5 S 1
21078,1436 EEE F212,T TH 5
21078,1681 EEE F212,S 5 M 1
21078,1437 EEE F212,T TH 5
21078,1682 EEE F212,S 5 M 1
21078,1438 EEE F212,T TH 5
21078,1683 EEE F212,S 5 M 1
21078,1439 EEE F212,T TH 5
21078,1684 EEE F212,S 5 M 1
21080,1447 EEE F214,M W F 3
21080,1689 EEE F214,T 1
21080,1074 EEE F214,T TH S 4
21080,1690 EEE F214,T 1
21079,1073 EEE F215,M W F 2
21079,1440 EEE F215,M W F 2
21079,1685 EEE F215,TH 1
21079,1686 EEE F215,TH 1
21079,1687 EEE F215,TH 1
21079,1688 EEE F215,TH 1
21079,3760 EEE F215,TH 1
21079,3761 EEE F215,TH 1
21079,1443 EEE F215,M 7 8
21079,1446 EEE F215,F 7 8
21242,1126 EEE F311,T TH S 4
21242,1519 EEE F311,M 3 4 5
21242,1520 EEE F311,T 1 2 3
21242,1521 EEE F311,W 3 4 5
21242,1522 EEE F311,TH 1 2 3
21242,1523 EEE F311,TH 7 8 9
21242,1524 EEE F311,F 3 4 5
21243,1127 EEE F313,M W F 8
21243,1525 EEE F313,M 1
21243,1526 EEE F313,M 1
21243,3762 EEE F313,M 1
21261,1134 EEE F418,M W F 7
21254,1131 EEE F422,T TH S 2
21250,1130 EEE F431,M W 4 F 1
21247,1128 EEE F432,M W F 10
21256,1132 EEE F434,M W F 9
21256,1527 EEE F434,T 8 9 10
21256,1528 EEE F434,TH 8 9 10
21257,1133 EEE F435,M W F 7
21249,1129 EEE F472,M F 5 T 7
21854,1277 EEE F473,T TH S 2
20462,1026 EEE G510,T TH 7 W 1
20324,1021 EEE G512,M W F 7
20921,1051 EEE G626,M W F 5
21539,1189 FIN F311,M W F 5
21542,1190 FIN F315,M W F 7
21130,1105 GS F211,M W F 9
